year,month,plot,treatment,resourcetreatment,anttreatment
1985,4,1,control,mixed_pulse,none
1985,4,2,control,small_seeds,none
1985,4,3,exclosure,none,none
1985,4,4,control,none,all_ants
1985,4,5,spectabs,none,none
1985,4,6,control,large_seeds,none
1985,4,7,removal,none,none
1985,4,8,control,none,rugosus
1985,4,9,control,mixed_seeds,none
1985,4,10,removal,none,all_ants
1985,4,11,control,none,none
1985,4,12,control,none,rugosus
1985,4,13,control,large_seeds,none
1985,4,14,control,none,none
1985,4,15,exclosure,none,rugosus
1985,4,16,removal,none,none
1985,4,17,control,none,all_ants
1985,4,18,control,mixed_pulse,none
1985,4,19,exclosure,none,none
1985,4,20,control,mixed_seeds,none
1985,4,21,exclosure,none,rugosus
1985,4,22,control,small_seeds,none
1985,4,23,removal,none,all_ants
1985,4,24,spectabs,none,none
1985,5,1,control,mixed_pulse,none
1985,5,2,control,small_seeds,none
1985,5,3,exclosure,none,none
1985,5,4,control,none,all_ants
1985,5,5,spectabs,none,none
1985,5,6,control,large_seeds,none
1985,5,7,removal,none,none
1985,5,8,control,none,rugosus
1985,5,9,control,mixed_seeds,none
1985,5,10,removal,none,all_ants
1985,5,11,control,none,none
1985,5,12,control,none,rugosus
1985,5,13,control,large_seeds,none
1985,5,14,control,none,none
1985,5,15,exclosure,none,rugosus
1985,5,16,removal,none,none
1985,5,17,control,none,all_ants
1985,5,18,control,mixed_pulse,none
1985,5,19,exclosure,none,none
1985,5,20,control,mixed_seeds,none
1985,5,21,exclosure,none,rugosus
1985,5,22,control,small_seeds,none
1985,5,23,removal,none,all_ants
1985,5,24,spectabs,none,none
1985,6,1,control,mixed_pulse,none
1985,6,2,control,small_seeds,none
1985,6,3,exclosure,none,none
1985,6,4,control,none,all_ants
1985,6,5,spectabs,none,none
1985,6,6,control,large_seeds,none
1985,6,7,removal,none,none
1985,6,8,control,none,rugosus
1985,6,9,control,mixed_seeds,none
1985,6,10,removal,none,all_ants
1985,6,11,control,none,none
1985,6,12,control,none,rugosus
1985,6,13,control,large_seeds,none
1985,6,14,control,none,none
1985,6,15,exclosure,none,rugosus
1985,6,16,removal,none,none
1985,6,17,control,none,all_ants
1985,6,18,control,mixed_pulse,none
1985,6,19,exclosure,none,none
1985,6,20,control,mixed_seeds,none
1985,6,21,exclosure,none,rugosus
1985,6,22,control,small_seeds,none
1985,6,23,removal,none,all_ants
1985,6,24,spectabs,none,none
1985,7,1,control,mixed_pulse,none
1985,7,2,control,small_seeds,none
1985,7,3,exclosure,none,none
1985,7,4,control,none,all_ants
1985,7,5,spectabs,none,none
1985,7,6,control,large_seeds,none
1985,7,7,removal,none,none
1985,7,8,control,none,rugosus
1985,7,9,control,mixed_seeds,none
1985,7,10,removal,none,all_ants
1985,7,11,control,none,none
1985,7,12,control,none,rugosus
1985,7,13,control,large_seeds,none
1985,7,14,control,none,none
1985,7,15,exclosure,none,rugosus
1985,7,16,removal,none,none
1985,7,17,control,none,all_ants
1985,7,18,control,mixed_pulse,none
1985,7,19,exclosure,none,none
1985,7,20,control,mixed_seeds,none
1985,7,21,exclosure,none,rugosus
1985,7,22,control,small_seeds,none
1985,7,23,removal,none,all_ants
1985,7,24,spectabs,none,none
1985,8,1,control,all_annuals,none
1985,8,2,control,summer_annuals,none
1985,8,3,exclosure,none,none
1985,8,4,control,none,all_ants
1985,8,5,spectabs,none,none
1985,8,6,control,winter_annuals,none
1985,8,7,removal,none,none
1985,8,8,control,none,rugosus
1985,8,9,control,biseas_annuals,none
1985,8,10,removal,none,all_ants
1985,8,11,control,none,none
1985,8,12,control,none,rugosus
1985,8,13,control,winter_annuals,none
1985,8,14,control,none,none
1985,8,15,exclosure,none,rugosus
1985,8,16,removal,none,none
1985,8,17,control,none,all_ants
1985,8,18,control,all_annuals,none
1985,8,19,exclosure,none,none
1985,8,20,control,biseas_annuals,none
1985,8,21,exclosure,none,rugosus
1985,8,22,control,summer_annuals,none
1985,8,23,removal,none,all_ants
1985,8,24,spectabs,none,none
1985,9,1,control,all_annuals,none
1985,9,2,control,summer_annuals,none
1985,9,3,exclosure,none,none
1985,9,4,control,none,all_ants
1985,9,5,spectabs,none,none
1985,9,6,control,winter_annuals,none
1985,9,7,removal,none,none
1985,9,8,control,none,rugosus
1985,9,9,control,biseas_annuals,none
1985,9,10,removal,none,all_ants
1985,9,11,control,none,none
1985,9,12,control,none,rugosus
1985,9,13,control,winter_annuals,none
1985,9,14,control,none,none
1985,9,15,exclosure,none,rugosus
1985,9,16,removal,none,none
1985,9,17,control,none,all_ants
1985,9,18,control,all_annuals,none
1985,9,19,exclosure,none,none
1985,9,20,control,biseas_annuals,none
1985,9,21,exclosure,none,rugosus
1985,9,22,control,summer_annuals,none
1985,9,23,removal,none,all_ants
1985,9,24,spectabs,none,none
1985,10,1,control,all_annuals,none
1985,10,2,control,summer_annuals,none
1985,10,3,exclosure,none,none
1985,10,4,control,none,all_ants
1985,10,5,spectabs,none,none
1985,10,6,control,winter_annuals,none
1985,10,7,removal,none,none
1985,10,8,control,none,rugosus
1985,10,9,control,biseas_annuals,none
1985,10,10,removal,none,all_ants
1985,10,11,control,none,none
1985,10,12,control,none,rugosus
1985,10,13,control,winter_annuals,none
1985,10,14,control,none,none
1985,10,15,exclosure,none,rugosus
1985,10,16,removal,none,none
1985,10,17,control,none,all_ants
1985,10,18,control,all_annuals,none
1985,10,19,exclosure,none,none
1985,10,20,control,biseas_annuals,none
1985,10,21,exclosure,none,rugosus
1985,10,22,control,summer_annuals,none
1985,10,23,removal,none,all_ants
1985,10,24,spectabs,none,none
1985,11,1,control,all_annuals,none
1985,11,2,control,summer_annuals,none
1985,11,3,exclosure,none,none
1985,11,4,control,none,all_ants
1985,11,5,spectabs,none,none
1985,11,6,control,winter_annuals,none
1985,11,7,removal,none,none
1985,11,8,control,none,rugosus
1985,11,9,control,biseas_annuals,none
1985,11,10,removal,none,all_ants
1985,11,11,control,none,none
1985,11,12,control,none,rugosus
1985,11,13,control,winter_annuals,none
1985,11,14,control,none,none
1985,11,15,exclosure,none,rugosus
1985,11,16,removal,none,none
1985,11,17,control,none,all_ants
1985,11,18,control,all_annuals,none
1985,11,19,exclosure,none,none
1985,11,20,control,biseas_annuals,none
1985,11,21,exclosure,none,rugosus
1985,11,22,control,summer_annuals,none
1985,11,23,removal,none,all_ants
1985,11,24,spectabs,none,none
1985,12,1,control,all_annuals,none
1985,12,2,control,summer_annuals,none
1985,12,3,exclosure,none,none
1985,12,4,control,none,all_ants
1985,12,5,spectabs,none,none
1985,12,6,control,winter_annuals,none
1985,12,7,removal,none,none
1985,12,8,control,none,rugosus
1985,12,9,control,biseas_annuals,none
1985,12,10,removal,none,all_ants
1985,12,11,control,none,none
1985,12,12,control,none,rugosus
1985,12,13,control,winter_annuals,none
1985,12,14,control,none,none
1985,12,15,exclosure,none,rugosus
1985,12,16,removal,none,none
1985,12,17,control,none,all_ants
1985,12,18,control,all_annuals,none
1985,12,19,exclosure,none,none
1985,12,20,control,biseas_annuals,none
1985,12,21,exclosure,none,rugosus
1985,12,22,control,summer_annuals,none
1985,12,23,removal,none,all_ants
1985,12,24,spectabs,none,none
1986,1,1,control,all_annuals,none
1986,1,2,control,summer_annuals,none
1986,1,3,exclosure,none,none
1986,1,4,control,none,all_ants
1986,1,5,spectabs,none,none
1986,1,6,control,winter_annuals,none
1986,1,7,removal,none,none
1986,1,8,control,none,rugosus
1986,1,9,control,biseas_annuals,none
1986,1,10,removal,none,all_ants
1986,1,11,control,none,none
1986,1,12,control,none,rugosus
1986,1,13,control,winter_annuals,none
1986,1,14,control,none,none
1986,1,15,exclosure,none,rugosus
1986,1,16,removal,none,none
1986,1,17,control,none,all_ants
1986,1,18,control,all_annuals,none
1986,1,19,exclosure,none,none
1986,1,20,control,biseas_annuals,none
1986,1,21,exclosure,none,rugosus
1986,1,22,control,summer_annuals,none
1986,1,23,removal,none,all_ants
1986,1,24,spectabs,none,none
1986,2,1,control,all_annuals,none
1986,2,2,control,summer_annuals,none
1986,2,3,exclosure,none,none
1986,2,4,control,none,all_ants
1986,2,5,spectabs,none,none
1986,2,6,control,winter_annuals,none
1986,2,7,removal,none,none
1986,2,8,control,none,rugosus
1986,2,9,control,biseas_annuals,none
1986,2,10,removal,none,all_ants
1986,2,11,control,none,none
1986,2,12,control,none,rugosus
1986,2,13,control,winter_annuals,none
1986,2,14,control,none,none
1986,2,15,exclosure,none,rugosus
1986,2,16,removal,none,none
1986,2,17,control,none,all_ants
1986,2,18,control,all_annuals,none
1986,2,19,exclosure,none,none
1986,2,20,control,biseas_annuals,none
1986,2,21,exclosure,none,rugosus
1986,2,22,control,summer_annuals,none
1986,2,23,removal,none,all_ants
1986,2,24,spectabs,none,none
1986,3,1,control,all_annuals,none
1986,3,2,control,summer_annuals,none
1986,3,3,exclosure,none,none
1986,3,4,control,none,all_ants
1986,3,5,spectabs,none,none
1986,3,6,control,winter_annuals,none
1986,3,7,removal,none,none
1986,3,8,control,none,rugosus
1986,3,9,control,biseas_annuals,none
1986,3,10,removal,none,all_ants
1986,3,11,control,none,none
1986,3,12,control,none,rugosus
1986,3,13,control,winter_annuals,none
1986,3,14,control,none,none
1986,3,15,exclosure,none,rugosus
1986,3,16,removal,none,none
1986,3,17,control,none,all_ants
1986,3,18,control,all_annuals,none
1986,3,19,exclosure,none,none
1986,3,20,control,biseas_annuals,none
1986,3,21,exclosure,none,rugosus
1986,3,22,control,summer_annuals,none
1986,3,23,removal,none,all_ants
1986,3,24,spectabs,none,none
1986,4,1,control,all_annuals,none
1986,4,2,control,summer_annuals,none
1986,4,3,exclosure,none,none
1986,4,4,control,none,all_ants
1986,4,5,spectabs,none,none
1986,4,6,control,winter_annuals,none
1986,4,7,removal,none,none
1986,4,8,control,none,rugosus
1986,4,9,control,biseas_annuals,none
1986,4,10,removal,none,all_ants
1986,4,11,control,none,none
1986,4,12,control,none,rugosus
1986,4,13,control,winter_annuals,none
1986,4,14,control,none,none
1986,4,15,exclosure,none,rugosus
1986,4,16,removal,none,none
1986,4,17,control,none,all_ants
1986,4,18,control,all_annuals,none
1986,4,19,exclosure,none,none
1986,4,20,control,biseas_annuals,none
1986,4,21,exclosure,none,rugosus
1986,4,22,control,summer_annuals,none
1986,4,23,removal,none,all_ants
1986,4,24,spectabs,none,none
1986,5,1,control,all_annuals,none
1986,5,2,control,summer_annuals,none
1986,5,3,exclosure,none,none
1986,5,4,control,none,all_ants
1986,5,5,spectabs,none,none
1986,5,6,control,winter_annuals,none
1986,5,7,removal,none,none
1986,5,8,control,none,rugosus
1986,5,9,control,biseas_annuals,none
1986,5,10,removal,none,all_ants
1986,5,11,control,none,none
1986,5,12,control,none,rugosus
1986,5,13,control,winter_annuals,none
1986,5,14,control,none,none
1986,5,15,exclosure,none,rugosus
1986,5,16,removal,none,none
1986,5,17,control,none,all_ants
1986,5,18,control,all_annuals,none
1986,5,19,exclosure,none,none
1986,5,20,control,biseas_annuals,none
1986,5,21,exclosure,none,rugosus
1986,5,22,control,summer_annuals,none
1986,5,23,removal,none,all_ants
1986,5,24,spectabs,none,none
1986,6,1,control,all_annuals,none
1986,6,2,control,summer_annuals,none
1986,6,3,exclosure,none,none
1986,6,4,control,none,all_ants
1986,6,5,spectabs,none,none
1986,6,6,control,winter_annuals,none
1986,6,7,removal,none,none
1986,6,8,control,none,rugosus
1986,6,9,control,biseas_annuals,none
1986,6,10,removal,none,all_ants
1986,6,11,control,none,none
1986,6,12,control,none,rugosus
1986,6,13,control,winter_annuals,none
1986,6,14,control,none,none
1986,6,15,exclosure,none,rugosus
1986,6,16,removal,none,none
1986,6,17,control,none,all_ants
1986,6,18,control,all_annuals,none
1986,6,19,exclosure,none,none
1986,6,20,control,biseas_annuals,none
1986,6,21,exclosure,none,rugosus
1986,6,22,control,summer_annuals,none
1986,6,23,removal,none,all_ants
1986,6,24,spectabs,none,none
1986,7,1,control,all_annuals,none
1986,7,2,control,summer_annuals,none
1986,7,3,exclosure,none,none
1986,7,4,control,none,all_ants
1986,7,5,spectabs,none,none
1986,7,6,control,winter_annuals,none
1986,7,7,removal,none,none
1986,7,8,control,none,rugosus
1986,7,9,control,biseas_annuals,none
1986,7,10,removal,none,all_ants
1986,7,11,control,none,none
1986,7,12,control,none,rugosus
1986,7,13,control,winter_annuals,none
1986,7,14,control,none,none
1986,7,15,exclosure,none,rugosus
1986,7,16,removal,none,none
1986,7,17,control,none,all_ants
1986,7,18,control,all_annuals,none
1986,7,19,exclosure,none,none
1986,7,20,control,biseas_annuals,none
1986,7,21,exclosure,none,rugosus
1986,7,22,control,summer_annuals,none
1986,7,23,removal,none,all_ants
1986,7,24,spectabs,none,none
1986,8,1,control,all_annuals,none
1986,8,2,control,summer_annuals,none
1986,8,3,exclosure,none,none
1986,8,4,control,none,all_ants
1986,8,5,spectabs,none,none
1986,8,6,control,winter_annuals,none
1986,8,7,removal,none,none
1986,8,8,control,none,rugosus
1986,8,9,control,biseas_annuals,none
1986,8,10,removal,none,all_ants
1986,8,11,control,none,none
1986,8,12,control,none,rugosus
1986,8,13,control,winter_annuals,none
1986,8,14,control,none,none
1986,8,15,exclosure,none,rugosus
1986,8,16,removal,none,none
1986,8,17,control,none,all_ants
1986,8,18,control,all_annuals,none
1986,8,19,exclosure,none,none
1986,8,20,control,biseas_annuals,none
1986,8,21,exclosure,none,rugosus
1986,8,22,control,summer_annuals,none
1986,8,23,removal,none,all_ants
1986,8,24,spectabs,none,none
1986,9,1,control,all_annuals,none
1986,9,2,control,summer_annuals,none
1986,9,3,exclosure,none,none
1986,9,4,control,none,all_ants
1986,9,5,spectabs,none,none
1986,9,6,control,winter_annuals,none
1986,9,7,removal,none,none
1986,9,8,control,none,rugosus
1986,9,9,control,biseas_annuals,none
1986,9,10,removal,none,all_ants
1986,9,11,control,none,none
1986,9,12,control,none,rugosus
1986,9,13,control,winter_annuals,none
1986,9,14,control,none,none
1986,9,15,exclosure,none,rugosus
1986,9,16,removal,none,none
1986,9,17,control,none,all_ants
1986,9,18,control,all_annuals,none
1986,9,19,exclosure,none,none
1986,9,20,control,biseas_annuals,none
1986,9,21,exclosure,none,rugosus
1986,9,22,control,summer_annuals,none
1986,9,23,removal,none,all_ants
1986,9,24,spectabs,none,none
1986,10,1,control,all_annuals,none
1986,10,2,control,summer_annuals,none
1986,10,3,exclosure,none,none
1986,10,4,control,none,all_ants
1986,10,5,spectabs,none,none
1986,10,6,control,winter_annuals,none
1986,10,7,removal,none,none
1986,10,8,control,none,rugosus
1986,10,9,control,biseas_annuals,none
1986,10,10,removal,none,all_ants
1986,10,11,control,none,none
1986,10,12,control,none,rugosus
1986,10,13,control,winter_annuals,none
1986,10,14,control,none,none
1986,10,15,exclosure,none,rugosus
1986,10,16,removal,none,none
1986,10,17,control,none,all_ants
1986,10,18,control,all_annuals,none
1986,10,19,exclosure,none,none
1986,10,20,control,biseas_annuals,none
1986,10,21,exclosure,none,rugosus
1986,10,22,control,summer_annuals,none
1986,10,23,removal,none,all_ants
1986,10,24,spectabs,none,none
1986,11,1,control,all_annuals,none
1986,11,2,control,summer_annuals,none
1986,11,3,exclosure,none,none
1986,11,4,control,none,all_ants
1986,11,5,spectabs,none,none
1986,11,6,control,winter_annuals,none
1986,11,7,removal,none,none
1986,11,8,control,none,rugosus
1986,11,9,control,biseas_annuals,none
1986,11,10,removal,none,all_ants
1986,11,11,control,none,none
1986,11,12,control,none,rugosus
1986,11,13,control,winter_annuals,none
1986,11,14,control,none,none
1986,11,15,exclosure,none,rugosus
1986,11,16,removal,none,none
1986,11,17,control,none,all_ants
1986,11,18,control,all_annuals,none
1986,11,19,exclosure,none,none
1986,11,20,control,biseas_annuals,none
1986,11,21,exclosure,none,rugosus
1986,11,22,control,summer_annuals,none
1986,11,23,removal,none,all_ants
1986,11,24,spectabs,none,none
1986,12,1,control,all_annuals,none
1986,12,2,control,summer_annuals,none
1986,12,3,exclosure,none,none
1986,12,4,control,none,all_ants
1986,12,5,spectabs,none,none
1986,12,6,control,winter_annuals,none
1986,12,7,removal,none,none
1986,12,8,control,none,rugosus
1986,12,9,control,biseas_annuals,none
1986,12,10,removal,none,all_ants
1986,12,11,control,none,none
1986,12,12,control,none,rugosus
1986,12,13,control,winter_annuals,none
1986,12,14,control,none,none
1986,12,15,exclosure,none,rugosus
1986,12,16,removal,none,none
1986,12,17,control,none,all_ants
1986,12,18,control,all_annuals,none
1986,12,19,exclosure,none,none
1986,12,20,control,biseas_annuals,none
1986,12,21,exclosure,none,rugosus
1986,12,22,control,summer_annuals,none
1986,12,23,removal,none,all_ants
1986,12,24,spectabs,none,none
1987,1,1,control,all_annuals,none
1987,1,2,control,summer_annuals,none
1987,1,3,exclosure,none,none
1987,1,4,control,none,all_ants
1987,1,5,spectabs,none,none
1987,1,6,control,winter_annuals,none
1987,1,7,removal,none,none
1987,1,8,control,none,rugosus
1987,1,9,control,biseas_annuals,none
1987,1,10,removal,none,all_ants
1987,1,11,control,none,none
1987,1,12,control,none,rugosus
1987,1,13,control,winter_annuals,none
1987,1,14,control,none,none
1987,1,15,exclosure,none,rugosus
1987,1,16,removal,none,none
1987,1,17,control,none,all_ants
1987,1,18,control,all_annuals,none
1987,1,19,exclosure,none,none
1987,1,20,control,biseas_annuals,none
1987,1,21,exclosure,none,rugosus
1987,1,22,control,summer_annuals,none
1987,1,23,removal,none,all_ants
1987,1,24,spectabs,none,none
1987,2,1,control,all_annuals,none
1987,2,2,control,summer_annuals,none
1987,2,3,exclosure,none,none
1987,2,4,control,none,all_ants
1987,2,5,spectabs,none,none
1987,2,6,control,winter_annuals,none
1987,2,7,removal,none,none
1987,2,8,control,none,rugosus
1987,2,9,control,biseas_annuals,none
1987,2,10,removal,none,all_ants
1987,2,11,control,none,none
1987,2,12,control,none,rugosus
1987,2,13,control,winter_annuals,none
1987,2,14,control,none,none
1987,2,15,exclosure,none,rugosus
1987,2,16,removal,none,none
1987,2,17,control,none,all_ants
1987,2,18,control,all_annuals,none
1987,2,19,exclosure,none,none
1987,2,20,control,biseas_annuals,none
1987,2,21,exclosure,none,rugosus
1987,2,22,control,summer_annuals,none
1987,2,23,removal,none,all_ants
1987,2,24,spectabs,none,none
1987,3,1,control,all_annuals,none
1987,3,2,control,summer_annuals,none
1987,3,3,exclosure,none,none
1987,3,4,control,none,all_ants
1987,3,5,spectabs,none,none
1987,3,6,control,winter_annuals,none
1987,3,7,removal,none,none
1987,3,8,control,none,rugosus
1987,3,9,control,biseas_annuals,none
1987,3,10,removal,none,all_ants
1987,3,11,control,none,none
1987,3,12,control,none,rugosus
1987,3,13,control,winter_annuals,none
1987,3,14,control,none,none
1987,3,15,exclosure,none,rugosus
1987,3,16,removal,none,none
1987,3,17,control,none,all_ants
1987,3,18,control,all_annuals,none
1987,3,19,exclosure,none,none
1987,3,20,control,biseas_annuals,none
1987,3,21,exclosure,none,rugosus
1987,3,22,control,summer_annuals,none
1987,3,23,removal,none,all_ants
1987,3,24,spectabs,none,none
1987,4,1,control,all_annuals,none
1987,4,2,control,summer_annuals,none
1987,4,3,exclosure,none,none
1987,4,4,control,none,all_ants
1987,4,5,spectabs,none,none
1987,4,6,control,winter_annuals,none
1987,4,7,removal,none,none
1987,4,8,control,none,rugosus
1987,4,9,control,biseas_annuals,none
1987,4,10,removal,none,all_ants
1987,4,11,control,none,none
1987,4,12,control,none,rugosus
1987,4,13,control,winter_annuals,none
1987,4,14,control,none,none
1987,4,15,exclosure,none,rugosus
1987,4,16,removal,none,none
1987,4,17,control,none,all_ants
1987,4,18,control,all_annuals,none
1987,4,19,exclosure,none,none
1987,4,20,control,biseas_annuals,none
1987,4,21,exclosure,none,rugosus
1987,4,22,control,summer_annuals,none
1987,4,23,removal,none,all_ants
1987,4,24,spectabs,none,none
1987,5,1,control,all_annuals,none
1987,5,2,control,summer_annuals,none
1987,5,3,exclosure,none,none
1987,5,4,control,none,all_ants
1987,5,5,spectabs,none,none
1987,5,6,control,winter_annuals,none
1987,5,7,removal,none,none
1987,5,8,control,none,rugosus
1987,5,9,control,biseas_annuals,none
1987,5,10,removal,none,all_ants
1987,5,11,control,none,none
1987,5,12,control,none,rugosus
1987,5,13,control,winter_annuals,none
1987,5,14,control,none,none
1987,5,15,exclosure,none,rugosus
1987,5,16,removal,none,none
1987,5,17,control,none,all_ants
1987,5,18,control,all_annuals,none
1987,5,19,exclosure,none,none
1987,5,20,control,biseas_annuals,none
1987,5,21,exclosure,none,rugosus
1987,5,22,control,summer_annuals,none
1987,5,23,removal,none,all_ants
1987,5,24,spectabs,none,none
1987,6,1,control,all_annuals,none
1987,6,2,control,summer_annuals,none
1987,6,3,exclosure,none,none
1987,6,4,control,none,all_ants
1987,6,5,spectabs,none,none
1987,6,6,control,winter_annuals,none
1987,6,7,removal,none,none
1987,6,8,control,none,rugosus
1987,6,9,control,biseas_annuals,none
1987,6,10,removal,none,all_ants
1987,6,11,control,none,none
1987,6,12,control,none,rugosus
1987,6,13,control,winter_annuals,none
1987,6,14,control,none,none
1987,6,15,exclosure,none,rugosus
1987,6,16,removal,none,none
1987,6,17,control,none,all_ants
1987,6,18,control,all_annuals,none
1987,6,19,exclosure,none,none
1987,6,20,control,biseas_annuals,none
1987,6,21,exclosure,none,rugosus
1987,6,22,control,summer_annuals,none
1987,6,23,removal,none,all_ants
1987,6,24,spectabs,none,none
1987,7,1,control,all_annuals,none
1987,7,2,control,summer_annuals,none
1987,7,3,exclosure,none,none
1987,7,4,control,none,all_ants
1987,7,5,spectabs,none,none
1987,7,6,control,winter_annuals,none
1987,7,7,removal,none,none
1987,7,8,control,none,rugosus
1987,7,9,control,biseas_annuals,none
1987,7,10,removal,none,all_ants
1987,7,11,control,none,none
1987,7,12,control,none,rugosus
1987,7,13,control,winter_annuals,none
1987,7,14,control,none,none
1987,7,15,exclosure,none,rugosus
1987,7,16,removal,none,none
1987,7,17,control,none,all_ants
1987,7,18,control,all_annuals,none
1987,7,19,exclosure,none,none
1987,7,20,control,biseas_annuals,none
1987,7,21,exclosure,none,rugosus
1987,7,22,control,summer_annuals,none
1987,7,23,removal,none,all_ants
1987,7,24,spectabs,none,none
1987,8,1,control,all_annuals,none
1987,8,2,control,summer_annuals,none
1987,8,3,exclosure,none,none
1987,8,4,control,none,all_ants
1987,8,5,spectabs,none,none
1987,8,6,control,winter_annuals,none
1987,8,7,removal,none,none
1987,8,8,control,none,rugosus
1987,8,9,control,biseas_annuals,none
1987,8,10,removal,none,all_ants
1987,8,11,control,none,none
1987,8,12,control,none,rugosus
1987,8,13,control,winter_annuals,none
1987,8,14,control,none,none
1987,8,15,exclosure,none,rugosus
1987,8,16,removal,none,none
1987,8,17,control,none,all_ants
1987,8,18,control,all_annuals,none
1987,8,19,exclosure,none,none
1987,8,20,control,biseas_annuals,none
1987,8,21,exclosure,none,rugosus
1987,8,22,control,summer_annuals,none
1987,8,23,removal,none,all_ants
1987,8,24,spectabs,none,none
1987,9,1,control,all_annuals,none
1987,9,2,control,summer_annuals,none
1987,9,3,exclosure,none,none
1987,9,4,control,none,all_ants
1987,9,5,spectabs,none,none
1987,9,6,control,winter_annuals,none
1987,9,7,removal,none,none
1987,9,8,control,none,rugosus
1987,9,9,control,biseas_annuals,none
1987,9,10,removal,none,all_ants
1987,9,11,control,none,none
1987,9,12,control,none,rugosus
1987,9,13,control,winter_annuals,none
1987,9,14,control,none,none
1987,9,15,exclosure,none,rugosus
1987,9,16,removal,none,none
1987,9,17,control,none,all_ants
1987,9,18,control,all_annuals,none
1987,9,19,exclosure,none,none
1987,9,20,control,biseas_annuals,none
1987,9,21,exclosure,none,rugosus
1987,9,22,control,summer_annuals,none
1987,9,23,removal,none,all_ants
1987,9,24,spectabs,none,none
1987,10,1,control,all_annuals,none
1987,10,2,control,summer_annuals,none
1987,10,3,exclosure,none,none
1987,10,4,control,none,all_ants
1987,10,5,spectabs,none,none
1987,10,6,control,winter_annuals,none
1987,10,7,removal,none,none
1987,10,8,control,none,rugosus
1987,10,9,control,biseas_annuals,none
1987,10,10,removal,none,all_ants
1987,10,11,control,none,none
1987,10,12,control,none,rugosus
1987,10,13,control,winter_annuals,none
1987,10,14,control,none,none
1987,10,15,exclosure,none,rugosus
1987,10,16,removal,none,none
1987,10,17,control,none,all_ants
1987,10,18,control,all_annuals,none
1987,10,19,exclosure,none,none
1987,10,20,control,biseas_annuals,none
1987,10,21,exclosure,none,rugosus
1987,10,22,control,summer_annuals,none
1987,10,23,removal,none,all_ants
1987,10,24,spectabs,none,none
1987,11,1,control,all_annuals,none
1987,11,2,control,summer_annuals,none
1987,11,3,exclosure,none,none
1987,11,4,control,none,all_ants
1987,11,5,spectabs,none,none
1987,11,6,control,winter_annuals,none
1987,11,7,removal,none,none
1987,11,8,control,none,rugosus
1987,11,9,control,biseas_annuals,none
1987,11,10,removal,none,all_ants
1987,11,11,control,none,none
1987,11,12,control,none,rugosus
1987,11,13,control,winter_annuals,none
1987,11,14,control,none,none
1987,11,15,exclosure,none,rugosus
1987,11,16,removal,none,none
1987,11,17,control,none,all_ants
1987,11,18,control,all_annuals,none
1987,11,19,exclosure,none,none
1987,11,20,control,biseas_annuals,none
1987,11,21,exclosure,none,rugosus
1987,11,22,control,summer_annuals,none
1987,11,23,removal,none,all_ants
1987,11,24,spectabs,none,none
1987,12,1,control,all_annuals,none
1987,12,2,control,summer_annuals,none
1987,12,3,exclosure,none,none
1987,12,4,control,none,all_ants
1987,12,5,spectabs,none,none
1987,12,6,control,winter_annuals,none
1987,12,7,removal,none,none
1987,12,8,control,none,rugosus
1987,12,9,control,biseas_annuals,none
1987,12,10,removal,none,all_ants
1987,12,11,control,none,none
1987,12,12,control,none,rugosus
1987,12,13,control,winter_annuals,none
1987,12,14,control,none,none
1987,12,15,exclosure,none,rugosus
1987,12,16,removal,none,none
1987,12,17,control,none,all_ants
1987,12,18,control,all_annuals,none
1987,12,19,exclosure,none,none
1987,12,20,control,biseas_annuals,none
1987,12,21,exclosure,none,rugosus
1987,12,22,control,summer_annuals,none
1987,12,23,removal,none,all_ants
1987,12,24,spectabs,none,none
1988,1,1,spectabs,NA,none
1988,1,2,control,NA,none
1988,1,3,exclosure,NA,all_ants
1988,1,4,control,NA,all_ants
1988,1,5,removal,NA,none
1988,1,6,exclosure,NA,none
1988,1,7,removal,NA,none
1988,1,8,control,NA,all_ants
1988,1,9,spectabs,NA,none
1988,1,10,removal,NA,all_ants
1988,1,11,control,NA,none
1988,1,12,control,NA,all_ants
1988,1,13,exclosure,NA,all_ants
1988,1,14,control,NA,none
1988,1,15,exclosure,NA,none
1988,1,16,removal,NA,none
1988,1,17,control,NA,all_ants
1988,1,18,exclosure,NA,none
1988,1,19,exclosure,NA,all_ants
1988,1,20,exclosure,NA,all_ants
1988,1,21,exclosure,NA,none
1988,1,22,control,NA,none
1988,1,23,removal,NA,all_ants
1988,1,24,removal,NA,none
1988,2,1,spectabs,NA,none
1988,2,2,control,NA,none
1988,2,3,exclosure,NA,all_ants
1988,2,4,control,NA,all_ants
1988,2,5,removal,NA,none
1988,2,6,exclosure,NA,none
1988,2,7,removal,NA,none
1988,2,8,control,NA,all_ants
1988,2,9,spectabs,NA,none
1988,2,10,removal,NA,all_ants
1988,2,11,control,NA,none
1988,2,12,control,NA,all_ants
1988,2,13,exclosure,NA,all_ants
1988,2,14,control,NA,none
1988,2,15,exclosure,NA,none
1988,2,16,removal,NA,none
1988,2,17,control,NA,all_ants
1988,2,18,exclosure,NA,none
1988,2,19,exclosure,NA,all_ants
1988,2,20,exclosure,NA,all_ants
1988,2,21,exclosure,NA,none
1988,2,22,control,NA,none
1988,2,23,removal,NA,all_ants
1988,2,24,removal,NA,none
1988,3,1,spectabs,NA,none
1988,3,2,control,NA,none
